"","datetimeMT","min","Cond.µS.cm.mn","Cond.µS.cm.SD","Depth.m.mn","Depth.m.SD","fDOM.QSU.mn","fDOM.QSU.SD","fDOM.RFU.mn","fDOM.RFU.SD","nLF.Cond.µS.cm.mn","nLF.Cond.µS.cm.SD","ODO...sat.mn","ODO...sat.SD","ODO...local.mn","ODO...local.SD","ODO.mg.L.mn","ODO.mg.L.SD","Pressure.psi.a.mn","Pressure.psi.a.SD","Sal.psu.mn","Sal.psu.SD","SpCond.µS.cm.mn","SpCond.µS.cm.SD","TDS.mg.L.mn","TDS.mg.L.SD","Turbidity.FNU.mn","Turbidity.FNU.SD","TSS.mg.L.mn","TSS.mg.L.SD","Temp..C.mn","Temp..C.SD","Vertical.Position.m.mn","Vertical.Position.m.SD","Battery.V.mn","Battery.V.SD","Cable.Pwr.V.mn","Cable.Pwr.V.SD"
"1",2025-12-09 14:04:00,2025-12-09 14:04:00,2337.06363636364,0.0504524979109054,-0.0883636363636364,0.000504524979109513,68.6045454545455,0.0211488233070523,18.2636363636364,0.00809039834955849,2512.78181818182,0.0750757193530848,1.54545454545455,0.0820199532264725,1.86363636363636,0.0924416277737175,0.135454545454545,0.00522232967867094,-0.125818181818182,0.000404519917477946,1.29,0,2497.30909090909,0.0943879807449783,1623,0,0.214545454545455,0.0307777960106426,0,0,21.6402727272727,0.00167874411932941,-0.0889090909090909,0.000539359889970594,2.37818181818182,0.00603022689155528,1.3,0
"2",2025-12-09 14:05:00,2025-12-09 14:05:00,2337.27272727273,0.119087439227836,-0.089,0,68.6154545454545,0.0112815214963556,18.2645454545455,0.0052223296786699,2513.21818181818,0.208893187146867,0.854545454545455,0.0522232967867093,1.01818181818182,0.0404519917477946,0.0736363636363636,0.00504524979109513,-0.126,0,1.29,0,2497.72727272727,0.200454030096261,1623.45454545455,0.522232967867094,0.290909090909091,0.0192117388356939,0,0,21.6367272727273,0.00127207775634278,-0.0889090909090909,0.000539359889970594,2.37,0,1.3,0
"3",2025-12-09 14:06:00,2025-12-09 14:06:00,2337.6,0,-0.089,0,68.6063636363636,0.00504524979109771,18.26,0,2514.17272727273,0.100904995821926,0.6,0,0.7,0,0.05,0,-0.126,0,1.29,0,2498.65454545455,0.112815214963509,1624,0,0.287272727272727,0.0279610118167813,0,0,21.625,0.00204939015319217,-0.0891818181818182,0.000603022689155528,2.38909090909091,0.00301511344577771,1.3,0
"4",2025-12-09 14:07:00,2025-12-09 14:07:00,2338.35454545455,0.0522232967866618,-0.089,0,68.6009090909091,0.00700649049745287,18.2609090909091,0.00301511344577704,2514.50909090909,0.0831209414592878,0.409090909090909,0.0301511344577764,0.5,0,0.04,0,-0.126545454545455,0.000522232967867094,1.29,0,2499,0.0774596669240779,1624,0,0.298181818181818,0.0116774841624228,0,0,21.6339090909091,0.000700649049746227,-0.0891818181818182,0.000404519917477946,2.37,0,1.3,0
"5",2025-12-09 14:08:00,2025-12-09 14:08:00,2339.3,0,-0.089,0,68.5545454545454,0.00820199532264624,18.2490909090909,0.00301511344577811,2515.03636363636,0.0674199862462629,0.4,0,0.4,0,0.03,0,-0.127,0,1.29,0,2499.56363636364,0.0809039834955155,1625,0,0.306363636363636,0.00924416277737176,0,0,21.6426363636364,0.00143336856898173,-0.0891818181818182,0.000750757193529549,2.37,0,1.3,0
"6",2025-12-09 14:09:00,2025-12-09 14:09:00,2340.26363636364,0.0674199862464775,-0.09,0,68.5572727272727,0.012720777563424,18.2490909090909,0.00301511344577811,2515.03636363636,0.0674199862462629,0.3,0,0.4,0,0.03,0,-0.127,0,1.29,0,2499.63636363636,0.0674199862462629,1625,0,0.305454545454545,0.02423371055519,0,0,21.662,0.00109544511501005,-0.089,0.000632455532033676,2.36181818181818,0.00603022689155528,1.3,0
"7",2025-12-09 14:10:00,2025-12-09 14:10:00,2341.43636363636,0.128629135678687,-0.0893636363636364,0.000504524979109513,68.5472727272727,0.00467099366496489,18.2481818181818,0.00404519917478008,2515.20909090909,0.0700649049746504,0.3,0,0.3,0,0.02,0,-0.127,0,1.29,0,2499.90909090909,0.0700649049744733,1625,0,0.261818181818182,0.0222792198329214,0,0,21.6811818181818,0.00231595258233818,-0.089,0.000632455532033676,2.37090909090909,0.00301511344577757,1.3,0
"8",2025-12-09 14:11:00,2025-12-09 14:11:00,2342.65454545455,0.103572548135496,-0.0891818181818182,0.000404519917477946,68.5145454545455,0.0129333958136575,18.2372727272727,0.00467099366496821,2515.15454545455,0.112815214963627,0.263636363636364,0.0504524979109513,0.3,0,0.02,0,-0.127,0,1.29,0,2499.97272727273,0.0904534033732468,1625,0,0.326363636363636,0.0185864075456917,0,0,21.7057272727273,0.000786245393107857,-0.0891818181818182,0.000603022689155528,2.37090909090909,0.00301511344577757,1.3,0
"9",2025-12-09 14:12:00,2025-12-09 14:12:00,2344.45454545455,0.121355975243273,-0.0897272727272727,0.000467099366496914,68.4745454545454,0.00820199532264876,18.2281818181818,0.00404519917478008,2515.45454545455,0.0522232967866618,0.2,0,0.3,0,0.02,0,-0.127,0,1.29,0,2500.36363636364,0.0504524979109054,1625,0,0.304545454545455,0.0385651750582404,0,0,21.7354545454545,0.00216164920205058,-0.0893636363636364,0.000674199862463243,2.37,0,1.3,0
"10",2025-12-09 14:13:00,2025-12-09 14:13:00,2346.26363636364,0.128629135678809,-0.09,0,68.3854545454546,0.0163484778273907,18.2027272727273,0.00467099366496987,2515.75454545455,0.0522232967868993,0.2,0,0.3,0,0.02,0,-0.127,0,1.29,0,2500.79090909091,0.0301511344578861,1625.81818181818,0.404519917477945,0.294545454545455,0.0169491217257039,0,0,21.7645454545455,0.00273362895666677,-0.0898181818181818,0.000404519917477946,2.36090909090909,0.00301511344577771,1.3,0
