"","runtype","Mean.Turbidity.FNU.mn","Mean.ODO...local.mn","Mean.Temp..C.mn","Mean.fDOM.QSU.mn","Mean.SpCond.µS.cm.mn"
"1","20251209_SLOWintrinsic",0.536363636363636,0.2,22.5683636363636,68.3509090909091,1798.65909090909
"2","20251209_SLOWFe0.1ppm",0.308636363636364,0.2,21.8922272727273,68.2877272727273,2501.58636363636
"3","20251209_SLOWFe0.2ppm",0.0668181818181818,0.2,21.9568636363636,68.4486363636364,2500.79545454545
"4","20251209_SLOWFe0.5ppm",0.421818181818182,0.2,21.9154090909091,66.5409090909091,2506.95
"5","20251209_SLOWFe1ppm",0.541363636363636,0.2,21.7497727272727,64.8095454545455,2688.15909090909
"6","20251209_SLOWFe10ppm",8.60590909090909,0.2,21.9546818181818,42.1245454545455,2709.23636363636
"7","20251209_SLOWFe25ppm",29.7818181818182,0.1,22.0588181818182,28.2254545454545,2689.5
"8","20251209_SLOWFe50ppm",36.4404545454545,0,22.5926818181818,19.9377272727273,2689.95
