"","datetimeMT","min","Cond.µS.cm.mn","Cond.µS.cm.SD","Depth.m.mn","Depth.m.SD","fDOM.QSU.mn","fDOM.QSU.SD","fDOM.RFU.mn","fDOM.RFU.SD","nLF.Cond.µS.cm.mn","nLF.Cond.µS.cm.SD","ODO...sat.mn","ODO...sat.SD","ODO...local.mn","ODO...local.SD","ODO.mg.L.mn","ODO.mg.L.SD","Pressure.psi.a.mn","Pressure.psi.a.SD","Sal.psu.mn","Sal.psu.SD","SpCond.µS.cm.mn","SpCond.µS.cm.SD","TDS.mg.L.mn","TDS.mg.L.SD","Turbidity.FNU.mn","Turbidity.FNU.SD","TSS.mg.L.mn","TSS.mg.L.SD","Temp..C.mn","Temp..C.SD","Vertical.Position.m.mn","Vertical.Position.m.SD","Battery.V.mn","Battery.V.SD","Cable.Pwr.V.mn","Cable.Pwr.V.SD"
"1",2025-12-09 15:04:00,2025-12-09 15:04:00,2504.07272727273,0.11037127426009,-0.092,0,63.9281818181818,0.0177866139656672,16.96,0.00632455532033662,2701.81818181818,0.267649703224831,5.62727272727273,0.749787848782453,6.73636363636364,0.889126230939935,0.491818181818182,0.0660027547634463,-0.13,0,1.39,0,2684.45454545455,0.262158869251639,1745,0,0.575454545454545,0.0121355975243383,0,0,21.4819090909091,0.00254772625902173,-0.0918181818181818,0.000404519917477946,2.28636363636364,0.0120604537831106,1.3,0
"2",2025-12-09 15:05:00,2025-12-09 15:05:00,2504.1,0.109544511501017,-0.092,0,64.1718181818182,0.00603022689155836,17.03,0,2703.6,0.0774596669240779,1.42727272727273,0.0646669790682863,1.70909090909091,0.0831209414593633,0.124545454545455,0.00522232967867094,-0.13,0,1.39,0,2686.12727272727,0.0786245393106181,1746,0,0.620909090909091,0.0094387980744854,0,0,21.4525454545455,0.00103572548135427,-0.0919090909090909,0.000700649049745371,2.29,0,1.3,0
"3",2025-12-09 15:06:00,2025-12-09 15:06:00,2503.46363636364,0.0504524979109054,-0.092,0,64.2427272727273,0.0134839972492667,17.0481818181818,0.00404519917478008,2703.63636363636,0.0809039834955155,0.8,0,0.972727272727273,0.0467099366496914,0.07,0,-0.13,0,1.39,0,2686.06363636364,0.0809039834955155,1746,0,0.598181818181818,0.0166241882918727,0,0,21.4404545454545,0.00103572548135427,-0.092,0.000447213595499958,2.29,0,1.3,0
"4",2025-12-09 15:07:00,2025-12-09 15:07:00,2503.39090909091,0.0301511344577489,-0.092,0,64.2781818181818,0.0125045446284014,17.0590909090909,0.00301511344577704,2703.86363636364,0.0504524979109054,0.527272727272727,0.0467099366496914,0.654545454545455,0.0522232967867093,0.05,0,-0.131,0,1.39,0,2686.29090909091,0.0301511344578861,1746,0,0.622727272727273,0.011908743922773,0,0,21.4350909090909,0.000301511344578132,-0.0920909090909091,0.000301511344577764,2.28090909090909,0.00301511344577771,1.3,0
"5",2025-12-09 15:08:00,2025-12-09 15:08:00,2503.51818181818,0.0404519917477577,-0.092,0,64.3581818181818,0.0087386289750575,17.08,0,2703.78181818182,0.060302268915683,0.4,0,0.5,0,0.0381818181818182,0.00404519917477945,-0.131,0,1.39,0,2686.21818181818,0.0404519917479417,1746,0,0.605454545454545,0.00687551650952329,0,0,21.439,0,-0.0922727272727273,0.000467099366496914,2.27090909090909,0.00301511344577757,1.3,0
"6",2025-12-09 15:09:00,2025-12-09 15:09:00,2504.04545454545,0.0522232967866618,-0.092,0,64.4009090909091,0.0157826141399608,17.0927272727273,0.00646669790682964,2703.97272727273,0.0467099366496489,0.3,0,0.4,0,0.03,0,-0.131,0,1.39,0,2686.45454545455,0.0522232967866618,1746,0,0.640909090909091,0.00831209414593634,0,0,21.4451818181818,0.00040451991747844,-0.092,0.000447213595499958,2.28090909090909,0.00301511344577771,1.3,0
"7",2025-12-09 15:10:00,2025-12-09 15:10:00,2504.87272727273,0.0646669790682275,-0.092,0,64.4336363636364,0.00674199862462916,17.1,0,2704.1,0,0.3,0,0.3,0,0.0254545454545455,0.00522232967867093,-0.130272727272727,0.000467099366496914,1.39,0,2686.65454545455,0.0522232967866618,1746,0,0.609090909090909,0.00539359889970594,0,0,21.4575454545455,0.00112815214963525,-0.092,0.000632455532033676,2.28909090909091,0.00301511344577771,1.3,0
"8",2025-12-09 15:11:00,2025-12-09 15:11:00,2505.7,0.077459666924254,-0.092,0,64.4609090909091,0.00700649049745287,17.11,0,2704.07272727273,0.0467099366496489,0.254545454545455,0.0522232967867093,0.3,0,0.02,0,-0.131,0,1.39,0,2686.69090909091,0.0301511344577489,1746,0,0.582727272727273,0.00786245393106897,0,0,21.4733636363636,0.00128629135678727,-0.0919090909090909,0.000301511344577764,2.28090909090909,0.00301511344577771,1.3,0
"9",2025-12-09 15:12:00,2025-12-09 15:12:00,2506.84545454545,0.103572548135496,-0.092,0,64.5272727272727,0.00467099366497153,17.1281818181818,0.00404519917477865,2704.14545454545,0.0522232967866618,0.2,0,0.3,0,0.02,0,-0.130545454545455,0.000522232967867094,1.39,0,2686.83636363636,0.0504524979109054,1746,0,0.617272727272727,0.00904534033733292,0,0,21.4929090909091,0.00144599761096258,-0.0919090909090909,0.000301511344577764,2.28,0,1.3,0
"10",2025-12-09 15:13:00,2025-12-09 15:13:00,2508.3,0.0632455532034539,-0.092,0,64.5536363636364,0.00809039834955825,17.1354545454545,0.00522232967867175,2704.24545454545,0.0522232967868993,0.2,0,0.3,0,0.02,0,-0.130636363636364,0.000504524979109513,1.39,0,2687.04545454545,0.0522232967866618,1747,0,0.600909090909091,0.00700649049745371,0,0,21.5171818181818,0.00160113596038445,-0.0919090909090909,0.000301511344577764,2.27909090909091,0.00301511344577757,1.3,0
"11",2025-12-09 15:14:00,2025-12-09 15:14:00,2509.86363636364,0.11200649331823,-0.092,0,64.6063636363636,0.00504524979109771,17.15,0,2704.23636363636,0.0504524979111348,0.2,0,0.2,0,0.02,0,-0.13,0,1.39,0,2687.14545454545,0.0522232967866618,1747,0,0.586363636363636,0.00674199862463243,0,0,21.5455454545455,0.00143969693780536,-0.0918181818181818,0.000603022689155528,2.28818181818182,0.00404519917477955,1.3,0
"12",2025-12-09 15:15:00,2025-12-09 15:15:00,2511.8,0.100000000000091,-0.092,0,64.6327272727273,0.014893561757288,17.1554545454545,0.00522232967867175,2704.37272727273,0.0467099366496489,0.2,0,0.2,0,0.02,0,-0.13,0,1.39,0,2687.44545454545,0.0522232967866618,1747,0,0.603636363636364,0.0102691063610494,0,0,21.5785454545455,0.0018635254955928,-0.0913636363636364,0.000504524979109513,2.28818181818182,0.00404519917477955,1.3,0
"13",2025-12-09 15:16:00,2025-12-09 15:16:00,2513.65454545455,0.15075567228895,-0.092,0,64.6472727272727,0.0110371274260201,17.1609090909091,0.00301511344577811,2704.29090909091,0.0301511344578861,0.2,0,0.2,0,0.02,0,-0.13,0,1.39,0,2687.53636363636,0.0504524979109054,1747,0,0.549090909090909,0.0113618180363403,0,0,21.6126363636364,0.00211057941204402,-0.0919090909090909,0.000539359889970594,2.28,0,1.3,0
"14",2025-12-09 15:17:00,2025-12-09 15:17:00,2515.66363636364,0.136181696807857,-0.092,0,64.6727272727273,0.00646669790683194,17.17,0,2704.21818181818,0.0404519917479417,0.2,0,0.2,0,0.02,0,-0.131,0,1.39,0,2687.62727272727,0.0467099366496489,1747,0,0.561818181818182,0.00404519917477941,0,0,21.6501818181818,0.00222792198329222,-0.0919090909090909,0.000301511344577764,2.28818181818182,0.00404519917477955,1.3,0
"15",2025-12-09 15:18:00,2025-12-09 15:18:00,2517.85454545455,0.0687551650952725,-0.092,0,64.7481818181818,0.0153741222957149,17.1872727272727,0.00467099366496987,2704.29090909091,0.0700649049746504,0.2,0,0.2,0,0.02,0,-0.13,0,1.39,0,2687.87272727273,0.0646669790682275,1747,0,0.547272727272727,0.011908743922773,0,0,21.6880909090909,0.00192117388356965,-0.0919090909090909,0.000301511344577764,2.27818181818182,0.00404519917477937,1.3,0
"16",2025-12-09 15:19:00,2025-12-09 15:19:00,2520.03636363636,0.120604537830996,-0.092,0,64.7827272727273,0.0119087439227743,17.1990909090909,0.00301511344577704,2704.23636363636,0.0504524979111348,0.2,0,0.2,0,0.02,0,-0.130181818181818,0.000404519917477946,1.39,0,2688,0.0447213595499551,1747,0,0.544545454545455,0.0121355975243384,0,0,21.7285454545455,0.00216164920205079,-0.092,0,2.27181818181818,0.00404519917477937,1.3,0
"17",2025-12-09 15:20:00,2025-12-09 15:20:00,2522.53636363636,0.128629135678603,-0.092,0,64.8363636363636,0.006741998624633,17.2109090909091,0.00301511344577704,2704.38181818182,0.0404519917477577,0.2,0,0.2,0,0.02,0,-0.13,0,1.39,0,2688.31818181818,0.0404519917477577,1747,0,0.538181818181818,0.00750757193529549,0,0,21.771,0.0024083189157583,-0.0916363636363636,0.000504524979109513,2.28,0,1.3,0
