"","datetimeMT","min","Cond.µS.cm.mn","Cond.µS.cm.SD","fDOM.QSU.mn","fDOM.QSU.SD","fDOM.RFU.mn","fDOM.RFU.SD","nLF.Cond.µS.cm.mn","nLF.Cond.µS.cm.SD","ODO...sat.mn","ODO...sat.SD","ODO...local.mn","ODO...local.SD","ODO.mg.L.mn","ODO.mg.L.SD","Sal.psu.mn","Sal.psu.SD","SpCond.µS.cm.mn","SpCond.µS.cm.SD","TDS.mg.L.mn","TDS.mg.L.SD","Turbidity.FNU.mn","Turbidity.FNU.SD","TSS.mg.L.mn","TSS.mg.L.SD","Temp..C.mn","Temp..C.SD","Battery.V.mn","Battery.V.SD","Cable.Pwr.V.mn","Cable.Pwr.V.SD"
"1",2025-02-19 08:30:00,2025-02-19 08:30:00,760.990909090909,0.070064904974553,27.5390909090909,0.105114656014711,13.0481818181818,0.0547390503787162,1163.29090909091,0.130034960334107,7.78181818181818,0.0603022689155527,7.78181818181818,0.0603022689155527,0.93,0.00447213595499956,0.57,0,1143.80909090909,0.113618180363395,743.272727272727,0.467099366496914,134.448181818182,0.767734565873106,0,0,7.47618181818182,0.00153741222957156,2.97181818181818,0.00404519917477937,0,0
"2",2025-02-19 08:45:00,2025-02-19 08:45:00,765.172727272727,0.0904534033733177,29.9636363636364,0.0385415950040285,14.2645454545455,0.0196792461052939,1163.95454545455,0.12135597524335,6,0,6,0,0.72,0,0.57,0,1144.35454545455,0.121355975243418,744,0,89.9218181818182,0.490669301705705,0,0,7.652,0,2.97818181818182,0.00404519917477937,0,0
"3",2025-02-19 09:00:00,2025-02-19 09:00:00,764.909090909091,0.0831209414593822,33.9227272727273,0.0134839972492647,16.2527272727273,0.00646669790682964,1161.19090909091,0.122102788293673,5.9,0,5.9,0,0.7,0,0.57,0,1141.6,0.134164078649967,742,0,83.38,0.444926960297982,0,0,7.72372727272727,0.000646669790682904,2.97545454545455,0.00522232967867082,0,0
"4",2025-02-19 09:15:00,2025-02-19 09:15:00,763.790909090909,0.0831209414593325,36.3172727272727,0.00646669790682735,17.4545454545455,0.00522232967867175,1158.58181818182,0.116774841624214,7,0,7,0,0.83,0,0.57,0,1138.99090909091,0.122102788293639,740,0,79.9981818181818,0.707641408932775,0,0,7.75218181818182,0.00040451991747808,2.97545454545455,0.00934198732993828,0,0
"5",2025-02-19 09:30:00,2025-02-19 09:30:00,761.963636363636,0.102691063610517,36.7945454545454,0.0052223296786699,17.6945454545455,0.0052223296786699,1157.10909090909,0.137510330190447,8.4,0,8.4,0,1,0,0.57,0,1137.58181818182,0.116774841624214,739.181818181818,0.404519917477945,62.2827272727273,0.432020622403397,0,0,7.71254545454545,0.000522232967867268,2.97909090909091,0.00301511344577757,0,0
"6",2025-02-19 09:45:00,2025-02-19 09:45:00,762.618181818182,0.116774841624237,38.3645454545455,0.0157249078621376,18.4827272727273,0.00786245393106855,1158.45454545455,0.143969693780534,7.4,0,7.4,0,0.880909090909091,0.00301511344577764,0.57,0,1138.92727272727,0.142062726222637,740,0,55.0809090909091,0.616254079831599,0,0,7.70136363636364,0.000504524979109682,2.97636363636364,0.00504524979109502,0,0
"7",2025-02-19 10:00:00,2025-02-19 10:00:00,763.572727272727,0.119087439227757,37.6581818181818,0.0204049904769312,18.13,0.0118321595661996,1159.13636363636,0.201359019031832,6,0,6,0,0.71,0,0.57,0,1139.58181818182,0.194000937204853,741,0,54.4372727272727,0.0366308364881032,0,0,7.72472727272727,0.000467099366496655,2.97363636363636,0.00504524979109502,0,0
"8",2025-02-19 10:15:00,2025-02-19 10:15:00,760.518181818182,0.0873862897505502,39.2054545454545,0.00934198732993877,18.9063636363636,0.00504524979109592,1154.76363636364,0.143336856898248,5.8,0,5.8,0,0.69,0,0.57,0,1135.3,0.118321595662058,738,0,54.8481818181818,0.63600028587758,0,0,7.717,0,2.98090909090909,0.00301511344577771,0,0
"9",2025-02-19 10:30:00,2025-02-19 10:30:00,754.190909090909,0.0700649049745176,42.2145454545455,0.00820199532264561,20.4172727272727,0.00467099366496987,1145.85454545455,0.0934198732993996,5.98181818181818,0.0404519917477944,5.98181818181818,0.0404519917477944,0.71,0,0.56,0,1126.54545454545,0.0820199532263978,732,0,41.3336363636364,0.112006493318265,0,0,7.695,0,2.97727272727273,0.00467099366496904,0,0
"10",2025-02-19 10:45:00,2025-02-19 10:45:00,748.309090909091,0.0700649049745176,42.9172727272727,0.00646669790683054,20.7672727272727,0.00467099366496821,1138.79090909091,0.0943879807448929,5.5,0,5.5,0,0.65,0,0.56,0,1119.64545454545,0.0820199532265037,728,0,33.5581818181818,0.0487479603302904,0,0,7.63645454545455,0.000522232967866804,2.98454545454545,0.00522232967867106,0,0
"11",2025-02-19 11:00:00,2025-02-19 11:00:00,743.345454545455,0.0820199532264508,43.6554545454545,0.0157249078621374,21.1409090909091,0.00831209414593608,1131.9,0.118321595661981,6.3,0,6.3,0,0.75,0,0.55,0,1112.86363636364,0.1206045378311,723,0,27.3781818181818,0.0433170132438013,0,0,7.616,0,2.98181818181818,0.00404519917477955,0,0
"12",2025-02-19 11:15:00,2025-02-19 11:15:00,739.009090909091,0.0831209414593822,45.3718181818182,0.0125045446284001,22.0018181818182,0.00750757193529666,1125.90909090909,0.137510330190428,4.1,0,4.1,0,0.49,0,0.55,0,1107,0.14142135623731,719.727272727273,0.467099366496914,22.9454545454545,0.026215886925159,0,0,7.596,0,2.98,0,0,0
