"","datetimeMT","min","Cond.µS.cm.mn","Cond.µS.cm.SD","fDOM.QSU.mn","fDOM.QSU.SD","fDOM.RFU.mn","fDOM.RFU.SD","nLF.Cond.µS.cm.mn","nLF.Cond.µS.cm.SD","ODO...sat.mn","ODO...sat.SD","ODO...local.mn","ODO...local.SD","ODO.mg.L.mn","ODO.mg.L.SD","Sal.psu.mn","Sal.psu.SD","SpCond.µS.cm.mn","SpCond.µS.cm.SD","TDS.mg.L.mn","TDS.mg.L.SD","Turbidity.FNU.mn","Turbidity.FNU.SD","TSS.mg.L.mn","TSS.mg.L.SD","Temp..C.mn","Temp..C.SD","Battery.V.mn","Battery.V.SD","Cable.Pwr.V.mn","Cable.Pwr.V.SD"
"1",2025-02-19 08:00:00,2025-02-19 08:00:00,479.954545454545,0.0934198732993852,35.0336363636364,0.0112006493318258,16.9345454545455,0.00687551650952361,708.8,0.126491106406719,3.7,0,4.4,0,0.43,0,0.34,0,696.563636363636,0.128629135678749,453,0,50.1690909090909,0.104350806940297,0,0,8.719,0,2.95545454545455,0.00522232967867082,0,0
"2",2025-02-19 08:15:00,2025-02-19 08:15:00,481.790909090909,0.0700649049745353,36.5763636363636,0.0120604537831103,17.6990909090909,0.00700649049745342,711.418181818182,0.10787197799412,2.6,0,3.1,0,0.3,0,0.34,0,699.127272727273,0.0904534033733496,454,0,41.1745454545455,0.244555254957387,0,0,8.72472727272727,0.00100904995821914,2.96181818181818,0.00404519917477955,0,0
"3",2025-02-19 08:30:00,2025-02-19 08:30:00,484.636363636364,0.0809039834955806,36.9227272727273,0.0214899553703166,17.87,0.00999999999999943,712.536363636364,0.102691063610517,1.8,0,2.1,0,0.21,0,0.34,0,700.209090909091,0.130034960334081,455,0,46.0081818181818,0.289545097759163,0,0,8.882,0,2.96727272727273,0.00467099366496925,0,0
"4",2025-02-19 08:45:00,2025-02-19 08:45:00,485.390909090909,0.0700649049745309,36.8036363636364,0.0250090892567994,17.8127272727273,0.0134839972492643,713.163636363636,0.102691063610487,1.5,0,1.78181818181818,0.0404519917477946,0.17,0,0.34,0,700.809090909091,0.104446593573396,455.727272727273,0.467099366496914,45.4790909090909,0.106250133689756,0,0,8.906,0,2.97,0,0,0
"5",2025-02-19 09:00:00,2025-02-19 09:00:00,485.036363636364,0.0809039834956075,37.0609090909091,0.0230019761996862,17.9409090909091,0.01136181803634,711.9,0.118321595661981,0.7,0,0.8,0,0.08,0,0.34,0,699.572727272727,0.110371274260216,455,0,37.4627272727273,0.0778576790163831,0,0,8.94481818181818,0.000404519917477721,2.96909090909091,0.00301511344577771,0,0
"6",2025-02-19 09:15:00,2025-02-19 09:15:00,485.345454545455,0.0820199532264646,38.1954545454545,0.00934198732993967,18.5018181818182,0.00603022689155622,712.090909090909,0.113618180363429,0.8,0,0.9,0,0.09,0,0.34,0,699.763636363636,0.102691063610467,455,0,39.1090909090909,0.307390778828986,0,0,8.95781818181818,0.000404519917477721,2.96545454545455,0.00522232967867106,0,0
"7",2025-02-19 09:30:00,2025-02-19 09:30:00,486.072727272727,0.0646669790682898,38.3036363636364,0.00924416277737313,18.5545454545455,0.0052223296786699,713.154545454545,0.103572548135454,1.1,0,1.3,0,0.13,0,0.34,0,700.790909090909,0.113618180363382,455.636363636364,0.504524979109513,37.5354545454545,0.424084039698823,0,0,8.95781818181818,0.000404519917477721,2.96363636363636,0.00809039834955891,0,0
"8",2025-02-19 09:45:00,2025-02-19 09:45:00,485.963636363636,0.080903983495596,40.1563636363636,0.0380191339387756,19.4745454545455,0.0186352549559352,712.854545454545,0.0934198732993664,1.3,0,1.6,0,0.15,0,0.34,0,700.509090909091,0.104446593573442,455,0,38.1172727272727,0.108544084047995,0,0,8.965,0.000632455532033325,2.96727272727273,0.00467099366496925,0,0
"9",2025-02-19 10:00:00,2025-02-19 10:00:00,486.090909090909,0.0700649049745353,41.1209090909091,0.00831209414593779,19.9518181818182,0.00603022689155552,712.863636363636,0.102691063610481,1.6,0,1.9,0,0.18,0,0.34,0,700.5,0.118321595662019,455,0,32.4745454545455,0.0700519287905247,0,0,8.975,0,2.96363636363636,0.00504524979109525,0,0
"10",2025-02-19 10:15:00,2025-02-19 10:15:00,485.7,0.063245553203364,41.5754545454545,0.0175291964240455,20.1763636363636,0.0112006493318266,712.109090909091,0.104446593573442,1.7,0,2,0,0.2,0,0.34,0,699.772727272727,0.100904995821878,455,0,34.1545454545455,0.331914556365448,0,0,8.98354545454545,0.000522232967866804,2.96909090909091,0.00301511344577771,0,0
"11",2025-02-19 10:30:00,2025-02-19 10:30:00,485.027272727273,0.0786245393107075,41.9045454545455,0.0220742548520376,20.3390909090909,0.012210278829368,711.018181818182,0.116774841624255,1.4,0,1.7,0,0.17,0,0.34,0,698.681818181818,0.107871977994106,454,0,31.8236363636364,0.476030938643125,0,0,8.989,0,2.96545454545455,0.00522232967867106,0,0
"12",2025-02-19 10:45:00,2025-02-19 10:45:00,484.3,0.0774596669241439,42.8518181818182,0.0348764051525321,20.8090909090909,0.0164039906452941,709.936363636364,0.102691063610517,1.6,0,1.9,0,0.181818181818182,0.00404519917477945,0.34,0,697.636363636364,0.102691063610499,453.454545454545,0.522232967867094,29.3045454545455,0.187209168384651,0,0,8.99,0,2.96363636363636,0.00809039834955891,0,0
